id	Sex	Injury	Treatment	Timepoint	pielou_evenness
#q2:types	categorical	categorical	categorical	categorical	numeric
Villapol_234_B	M	CCI	PAN	Baseline	0.627336461579255
Villapol_236_B	M	CCI	PAN	Baseline	0.621534890274474
Villapol_237_B	M	CCI	PAN	Baseline	0.663402800913815
Villapol_238_B	M	CCI	PAN	Baseline	0.652384917230431
Villapol_239_B	M	CCI	PAN	Baseline	0.665503412837028
Villapol_240_B	M	CCI	PAN	Baseline	0.661828761286784
Villapol_241_B	M	CCI	PAN	Baseline	0.708192713322685
Villapol_242_B	M	CCI	PAN	Baseline	0.675151279552683
Villapol_243_B	M	CCI	PAN	Baseline	0.705562283963341
Villapol_244_B	F	CCI	PAN	Baseline	0.692332908635523
Villapol_245_B	F	CCI	PAN	Baseline	0.668956892203611
Villapol_246_B	F	CCI	PAN	Baseline	0.759787714351415
Villapol_247_B	F	CCI	PAN	Baseline	0.714621886336877
Villapol_248_B	F	CCI	PAN	Baseline	0.781503122307222
Villapol_249_B	F	CCI	PAN	Baseline	0.610506988909959
Villapol_250_B	F	CCI	PAN	Baseline	0.670273841795133
Villapol_251_B	F	CCI	PAN	Baseline	0.595790278141652
Villapol_252_B	F	CCI	PAN	Baseline	0.701313169896498
Villapol_253_B	F	CCI	PAN	Baseline	0.630277582952168
Villapol_254_B	M	CCI	Vehicle	Baseline	0.651384505389989
Villapol_255_B	M	CCI	Vehicle	Baseline	0.63015833818564
Villapol_256_B	M	CCI	Vehicle	Baseline	0.661721855273486
Villapol_257_B	M	CCI	Vehicle	Baseline	0.712985525227246
Villapol_258_B	M	CCI	Vehicle	Baseline	0.699331949368002
Villapol_259_B	M	CCI	Vehicle	Baseline	0.616346737372753
Villapol_260_B	M	CCI	Vehicle	Baseline	0.703116401835462
Villapol_261_B	M	CCI	Vehicle	Baseline	0.641370826578718
Villapol_262_B	M	CCI	Vehicle	Baseline	0.623039105244358
Villapol_263_B	M	CCI	Vehicle	Baseline	0.555444240318043
Villapol_264_B	F	CCI	Vehicle	Baseline	0.681783486634318
Villapol_265_B	F	CCI	Vehicle	Baseline	0.630335784335337
Villapol_266_B	F	CCI	Vehicle	Baseline	0.612852555790265
Villapol_267_B	F	CCI	Vehicle	Baseline	0.576018751791636
Villapol_268_B	F	CCI	Vehicle	Baseline	0.658956313343866
Villapol_269_B	F	CCI	Vehicle	Baseline	0.694771147529262
Villapol_270_B	F	CCI	Vehicle	Baseline	0.684287116811946
Villapol_271_B	F	CCI	Vehicle	Baseline	0.722135265950873
Villapol_272_B	F	CCI	Vehicle	Baseline	0.667886012370936
Villapol_273_B	F	CCI	Vehicle	Baseline	0.751725176712987
Villapol_274_B	M	Sham	PAN	Baseline	0.733500396437449
Villapol_275_B	M	Sham	PAN	Baseline	0.673930561495723
Villapol_276_B	M	Sham	PAN	Baseline	0.71899957563062
Villapol_277_B	M	Sham	PAN	Baseline	0.726062653234791
Villapol_278_B	M	Sham	PAN	Baseline	0.660946652747176
Villapol_279_B	F	Sham	PAN	Baseline	0.758312183933633
Villapol_280_B	F	Sham	PAN	Baseline	0.736032086240767
Villapol_281_B	F	Sham	PAN	Baseline	0.749993576698156
Villapol_282_B	F	Sham	PAN	Baseline	0.663886036828552
Villapol_283_B	F	Sham	PAN	Baseline	0.762200225842491
Villapol_284_B	M	Sham	Vehicle	Baseline	0.758931269076453
Villapol_285_B	M	Sham	Vehicle	Baseline	0.777554802067899
Villapol_286_B	M	Sham	Vehicle	Baseline	0.730216135190121
Villapol_287_B	M	Sham	Vehicle	Baseline	0.710752249989781
Villapol_288_B	M	Sham	Vehicle	Baseline	0.824498988447779
Villapol_289_B	F	Sham	Vehicle	Baseline	0.601143683165483
Villapol_290_B	F	Sham	Vehicle	Baseline	0.594674956157786
Villapol_291_B	F	Sham	Vehicle	Baseline	0.654947463388811
Villapol_292_B	F	Sham	Vehicle	Baseline	0.678851126169512
Villapol_293_B	F	Sham	Vehicle	Baseline	0.616111281203712
Villapol_35d_234	M	CCI	PAN	35d	0.647267532633734
Villapol_35d_236	M	CCI	PAN	35d	0.764318467902707
Villapol_35d_237	M	CCI	PAN	35d	0.709482606316556
Villapol_35d_238	M	CCI	PAN	35d	0.741416506042932
Villapol_35d_239	M	CCI	PAN	35d	0.688210629764416
Villapol_35d_240	M	CCI	PAN	35d	0.728508081736858
Villapol_35d_241	M	CCI	PAN	35d	0.739185110953364
Villapol_35d_242	M	CCI	PAN	35d	0.719446513779529
Villapol_35d_243	M	CCI	PAN	35d	0.748820086202067
Villapol_35d_244	F	CCI	PAN	35d	0.688794809066327
Villapol_35d_245	F	CCI	PAN	35d	0.70833375352744
Villapol_35d_246	F	CCI	PAN	35d	0.660005791353955
Villapol_35d_247	F	CCI	PAN	35d	0.69331579062203
Villapol_35d_248	F	CCI	PAN	35d	0.710065696175052
Villapol_35d_249	F	CCI	PAN	35d	0.721309551778971
Villapol_35d_250	F	CCI	PAN	35d	0.73241519665517
Villapol_35d_251	F	CCI	PAN	35d	0.700835561471321
Villapol_35d_252	F	CCI	PAN	35d	0.723451941655696
Villapol_35d_253	F	CCI	PAN	35d	0.715546770623047
Villapol_35d_254	M	CCI	Vehicle	35d	0.7542823263971
Villapol_35d_255	M	CCI	Vehicle	35d	0.696094750494715
Villapol_35d_256	M	CCI	Vehicle	35d	0.752391959196034
Villapol_35d_257	M	CCI	Vehicle	35d	0.76997363443126
Villapol_35d_258	M	CCI	Vehicle	35d	0.633535463981006
Villapol_35d_259	M	CCI	Vehicle	35d	0.662932717747382
Villapol_35d_261	M	CCI	Vehicle	35d	0.690723512390814
Villapol_35d_262	M	CCI	Vehicle	35d	0.597753140003948
Villapol_35d_263	M	CCI	Vehicle	35d	0.672652293169609
Villapol_35d_264	F	CCI	Vehicle	35d	0.709133941471392
Villapol_35d_265	F	CCI	Vehicle	35d	0.676230955090455
Villapol_35d_266	F	CCI	Vehicle	35d	0.640728085575345
Villapol_35d_267	F	CCI	Vehicle	35d	0.638023191027099
Villapol_35d_268	F	CCI	Vehicle	35d	0.697504251461278
Villapol_35d_269	F	CCI	Vehicle	35d	0.637014764810989
Villapol_35d_270	F	CCI	Vehicle	35d	0.67868334159622
Villapol_35d_271	F	CCI	Vehicle	35d	0.636541134424316
Villapol_35d_272	F	CCI	Vehicle	35d	0.656894849759749
Villapol_35d_273	F	CCI	Vehicle	35d	0.669397431741659
Villapol_35d_274	M	Sham	PAN	35d	0.738973437483363
Villapol_35d_275	M	Sham	PAN	35d	0.718352748343586
Villapol_35d_276	M	Sham	PAN	35d	0.781199781720844
Villapol_35d_277	M	Sham	PAN	35d	0.763905885510542
Villapol_35d_278	M	Sham	PAN	35d	0.750360572777539
Villapol_35d_279	F	Sham	PAN	35d	0.695670702117394
Villapol_35d_280	F	Sham	PAN	35d	0.713965537791522
Villapol_35d_281	F	Sham	PAN	35d	0.759855410876382
Villapol_35d_282	F	Sham	PAN	35d	0.746208091252223
Villapol_35d_283	F	Sham	PAN	35d	0.728385217924238
Villapol_35d_284	M	Sham	Vehicle	35d	0.628133119149706
Villapol_35d_285	M	Sham	Vehicle	35d	0.677412865853165
Villapol_35d_286	M	Sham	Vehicle	35d	0.636452262330986
Villapol_35d_287	M	Sham	Vehicle	35d	0.68251029354384
Villapol_35d_288	M	Sham	Vehicle	35d	0.728903068776053
Villapol_35d_289	F	Sham	Vehicle	35d	0.698015953428633
Villapol_35d_290	F	Sham	Vehicle	35d	0.71613488753404
Villapol_35d_291	F	Sham	Vehicle	35d	0.697377619616595
Villapol_35d_292	F	Sham	Vehicle	35d	0.765578495131636
Villapol_35d_293	F	Sham	Vehicle	35d	0.635487041158939
