id	Sex	Injury	Treatment	Timepoint	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	numeric
Villapol_234_B	M	CCI	PAN	Baseline	4.77235568109228
Villapol_236_B	M	CCI	PAN	Baseline	4.78177057195744
Villapol_237_B	M	CCI	PAN	Baseline	4.9963395556569
Villapol_238_B	M	CCI	PAN	Baseline	5.09759299568883
Villapol_239_B	M	CCI	PAN	Baseline	5.19152550659699
Villapol_240_B	M	CCI	PAN	Baseline	5.09637248002087
Villapol_241_B	M	CCI	PAN	Baseline	5.55611888652443
Villapol_242_B	M	CCI	PAN	Baseline	5.16561733922317
Villapol_243_B	M	CCI	PAN	Baseline	5.59979239123275
Villapol_244_B	F	CCI	PAN	Baseline	5.30696431121316
Villapol_245_B	F	CCI	PAN	Baseline	5.14661112529776
Villapol_246_B	F	CCI	PAN	Baseline	6.16867168059842
Villapol_247_B	F	CCI	PAN	Baseline	5.71293993309177
Villapol_248_B	F	CCI	PAN	Baseline	6.34497779816177
Villapol_249_B	F	CCI	PAN	Baseline	4.6488335783538
Villapol_250_B	F	CCI	PAN	Baseline	5.22873914537885
Villapol_251_B	F	CCI	PAN	Baseline	4.44912678773609
Villapol_252_B	F	CCI	PAN	Baseline	5.46175863077186
Villapol_253_B	F	CCI	PAN	Baseline	5.11062119592669
Villapol_254_B	M	CCI	Vehicle	Baseline	4.77524566470581
Villapol_255_B	M	CCI	Vehicle	Baseline	4.92795097926986
Villapol_256_B	M	CCI	Vehicle	Baseline	5.1403773434978
Villapol_257_B	M	CCI	Vehicle	Baseline	5.61584257210795
Villapol_258_B	M	CCI	Vehicle	Baseline	5.54207457652255
Villapol_259_B	M	CCI	Vehicle	Baseline	4.7546500561059
Villapol_260_B	M	CCI	Vehicle	Baseline	5.48947930064953
Villapol_261_B	M	CCI	Vehicle	Baseline	4.84529289626286
Villapol_262_B	M	CCI	Vehicle	Baseline	4.69719075996787
Villapol_263_B	M	CCI	Vehicle	Baseline	4.02581959158492
Villapol_264_B	F	CCI	Vehicle	Baseline	5.09129014874537
Villapol_265_B	F	CCI	Vehicle	Baseline	4.77632454356511
Villapol_266_B	F	CCI	Vehicle	Baseline	4.26189698228783
Villapol_267_B	F	CCI	Vehicle	Baseline	4.00574747842305
Villapol_268_B	F	CCI	Vehicle	Baseline	4.60523789631812
Villapol_269_B	F	CCI	Vehicle	Baseline	5.55816918023409
Villapol_270_B	F	CCI	Vehicle	Baseline	5.23059231342609
Villapol_271_B	F	CCI	Vehicle	Baseline	5.48816508149626
Villapol_272_B	F	CCI	Vehicle	Baseline	4.98750929280401
Villapol_273_B	F	CCI	Vehicle	Baseline	5.9837338590196
Villapol_274_B	M	Sham	PAN	Baseline	6.00723956069165
Villapol_275_B	M	Sham	PAN	Baseline	5.47160251589124
Villapol_276_B	M	Sham	PAN	Baseline	5.9802161396417
Villapol_277_B	M	Sham	PAN	Baseline	5.92823398659727
Villapol_278_B	M	Sham	PAN	Baseline	5.26876502921209
Villapol_279_B	F	Sham	PAN	Baseline	5.86017623716522
Villapol_280_B	F	Sham	PAN	Baseline	5.96427983103487
Villapol_281_B	F	Sham	PAN	Baseline	6.06554518272277
Villapol_282_B	F	Sham	PAN	Baseline	4.90193817984457
Villapol_283_B	F	Sham	PAN	Baseline	6.16426600409376
Villapol_284_B	M	Sham	Vehicle	Baseline	6.21175783122596
Villapol_285_B	M	Sham	Vehicle	Baseline	6.30482212905287
Villapol_286_B	M	Sham	Vehicle	Baseline	5.91715150579185
Villapol_287_B	M	Sham	Vehicle	Baseline	5.97397320640656
Villapol_288_B	M	Sham	Vehicle	Baseline	6.83890641701911
Villapol_289_B	F	Sham	Vehicle	Baseline	4.40153082283342
Villapol_290_B	F	Sham	Vehicle	Baseline	4.02486971660453
Villapol_291_B	F	Sham	Vehicle	Baseline	4.78955414162276
Villapol_292_B	F	Sham	Vehicle	Baseline	5.04132819196248
Villapol_293_B	F	Sham	Vehicle	Baseline	4.53307079208818
Villapol_35d_234	M	CCI	PAN	35d	4.91917683359389
Villapol_35d_236	M	CCI	PAN	35d	5.82006336157779
Villapol_35d_237	M	CCI	PAN	35d	5.44845755615325
Villapol_35d_238	M	CCI	PAN	35d	5.93133204834346
Villapol_35d_239	M	CCI	PAN	35d	5.45801773758032
Villapol_35d_240	M	CCI	PAN	35d	5.76023370030996
Villapol_35d_241	M	CCI	PAN	35d	5.94629635967057
Villapol_35d_242	M	CCI	PAN	35d	5.54998704412425
Villapol_35d_243	M	CCI	PAN	35d	5.95626196681207
Villapol_35d_244	F	CCI	PAN	35d	4.79799605635104
Villapol_35d_245	F	CCI	PAN	35d	5.32919288023011
Villapol_35d_246	F	CCI	PAN	35d	4.83844759549011
Villapol_35d_247	F	CCI	PAN	35d	5.24830042598458
Villapol_35d_248	F	CCI	PAN	35d	5.54373490801655
Villapol_35d_249	F	CCI	PAN	35d	5.48188972575724
Villapol_35d_250	F	CCI	PAN	35d	5.69437219320986
Villapol_35d_251	F	CCI	PAN	35d	5.42549536202615
Villapol_35d_252	F	CCI	PAN	35d	5.63888529258295
Villapol_35d_253	F	CCI	PAN	35d	5.61829367032787
Villapol_35d_254	M	CCI	Vehicle	35d	5.89379705486909
Villapol_35d_255	M	CCI	Vehicle	35d	5.30055954902903
Villapol_35d_256	M	CCI	Vehicle	35d	6.16195814532754
Villapol_35d_257	M	CCI	Vehicle	35d	6.21481321047285
Villapol_35d_258	M	CCI	Vehicle	35d	4.60968285107893
Villapol_35d_259	M	CCI	Vehicle	35d	4.90628511841526
Villapol_35d_261	M	CCI	Vehicle	35d	5.21281744897636
Villapol_35d_262	M	CCI	Vehicle	35d	4.22377700114409
Villapol_35d_263	M	CCI	Vehicle	35d	5.1750416444324
Villapol_35d_264	F	CCI	Vehicle	35d	5.61975352610374
Villapol_35d_265	F	CCI	Vehicle	35d	5.31380999341776
Villapol_35d_266	F	CCI	Vehicle	35d	5.00650906375313
Villapol_35d_267	F	CCI	Vehicle	35d	4.73812913620711
Villapol_35d_268	F	CCI	Vehicle	35d	5.00105317116453
Villapol_35d_269	F	CCI	Vehicle	35d	4.53487057314426
Villapol_35d_270	F	CCI	Vehicle	35d	5.2355299258233
Villapol_35d_271	F	CCI	Vehicle	35d	4.76375658468238
Villapol_35d_272	F	CCI	Vehicle	35d	4.99721610352333
Villapol_35d_273	F	CCI	Vehicle	35d	4.9192197530099
Villapol_35d_274	M	Sham	PAN	35d	5.98811444669926
Villapol_35d_275	M	Sham	PAN	35d	5.74276576259755
Villapol_35d_276	M	Sham	PAN	35d	6.40558224596861
Villapol_35d_277	M	Sham	PAN	35d	6.28604302846895
Villapol_35d_278	M	Sham	PAN	35d	6.13788127005181
Villapol_35d_279	F	Sham	PAN	35d	5.31760680242497
Villapol_35d_280	F	Sham	PAN	35d	5.78920702447933
Villapol_35d_281	F	Sham	PAN	35d	6.21554818252475
Villapol_35d_282	F	Sham	PAN	35d	5.87292983485917
Villapol_35d_283	F	Sham	PAN	35d	5.3655202113236
Villapol_35d_284	M	Sham	Vehicle	35d	4.82814555148546
Villapol_35d_285	M	Sham	Vehicle	35d	4.97210882538643
Villapol_35d_286	M	Sham	Vehicle	35d	4.88762248285602
Villapol_35d_287	M	Sham	Vehicle	35d	5.4248424524231
Villapol_35d_288	M	Sham	Vehicle	35d	5.96236083802102
Villapol_35d_289	F	Sham	Vehicle	35d	5.41303519355443
Villapol_35d_290	F	Sham	Vehicle	35d	5.30612334474671
Villapol_35d_291	F	Sham	Vehicle	35d	5.25221687535942
Villapol_35d_292	F	Sham	Vehicle	35d	6.24315337600033
Villapol_35d_293	F	Sham	Vehicle	35d	4.78112612643063
