"","MouseID","Treatment","Injury","Sex","Timepoint","chao1_unique"
"1",234,"PAN","CCI","M","Baseline",212.571428571429
"2",236,"PAN","CCI","M","Baseline",235.909090909091
"3",237,"PAN","CCI","M","Baseline",200.5
"4",238,"PAN","CCI","M","Baseline",267
"5",239,"PAN","CCI","M","Baseline",248.375
"6",240,"PAN","CCI","M","Baseline",228.55
"7",241,"PAN","CCI","M","Baseline",266.625
"8",242,"PAN","CCI","M","Baseline",211.214285714286
"9",243,"PAN","CCI","M","Baseline",274.5
"10",244,"PAN","CCI","F","Baseline",213.333333333333
"11",245,"PAN","CCI","F","Baseline",221.75
"12",246,"PAN","CCI","F","Baseline",315.555555555556
"13",247,"PAN","CCI","F","Baseline",305.375
"14",248,"PAN","CCI","F","Baseline",316.666666666667
"15",249,"PAN","CCI","F","Baseline",238
"16",250,"PAN","CCI","F","Baseline",251.285714285714
"17",251,"PAN","CCI","F","Baseline",201
"18",252,"PAN","CCI","F","Baseline",243.545454545455
"19",253,"PAN","CCI","F","Baseline",338.05
"20",254,"Vehicle","CCI","M","Baseline",171
"21",255,"Vehicle","CCI","M","Baseline",267.214285714286
"22",256,"Vehicle","CCI","M","Baseline",235.75
"23",257,"Vehicle","CCI","M","Baseline",271.714285714286
"24",258,"Vehicle","CCI","M","Baseline",271.25
"25",259,"Vehicle","CCI","M","Baseline",232.5
"26",260,"Vehicle","CCI","M","Baseline",267
"27",261,"Vehicle","CCI","M","Baseline",219.125
"28",262,"Vehicle","CCI","M","Baseline",197.625
"29",263,"Vehicle","CCI","M","Baseline",167.5
"30",264,"Vehicle","CCI","F","Baseline",210
"31",265,"Vehicle","CCI","F","Baseline",209
"32",266,"Vehicle","CCI","F","Baseline",126.875
"33",267,"Vehicle","CCI","F","Baseline",142.857142857143
"34",268,"Vehicle","CCI","F","Baseline",131
"35",269,"Vehicle","CCI","F","Baseline",308.789473684211
"36",270,"Vehicle","CCI","F","Baseline",213.142857142857
"37",271,"Vehicle","CCI","F","Baseline",203.5
"38",272,"Vehicle","CCI","F","Baseline",189.111111111111
"39",273,"Vehicle","CCI","F","Baseline",279.1
"40",274,"PAN","Sham","M","Baseline",322.8
"41",275,"PAN","Sham","M","Baseline",329.428571428571
"42",276,"PAN","Sham","M","Baseline",377.142857142857
"43",277,"PAN","Sham","M","Baseline",342.894736842105
"44",278,"PAN","Sham","M","Baseline",297.666666666667
"45",279,"PAN","Sham","F","Baseline",225.545454545455
"46",280,"PAN","Sham","F","Baseline",309.588235294118
"47",281,"PAN","Sham","F","Baseline",323.894736842105
"48",282,"PAN","Sham","F","Baseline",184.666666666667
"49",283,"PAN","Sham","F","Baseline",299.461538461538
"50",284,"Vehicle","Sham","M","Baseline",344.555555555556
"51",285,"Vehicle","Sham","M","Baseline",291.928571428571
"52",286,"Vehicle","Sham","M","Baseline",317.625
"53",287,"Vehicle","Sham","M","Baseline",417.12
"54",288,"Vehicle","Sham","M","Baseline",347.789473684211
"55",289,"Vehicle","Sham","F","Baseline",181.75
"56",290,"Vehicle","Sham","F","Baseline",113.125
"57",291,"Vehicle","Sham","F","Baseline",178
"58",292,"Vehicle","Sham","F","Baseline",185.428571428571
"59",293,"Vehicle","Sham","F","Baseline",186
"60",234,"PAN","CCI","M","35d",216.333333333333
"61",236,"PAN","CCI","M","35d",209
"62",237,"PAN","CCI","M","35d",223.8
"63",238,"PAN","CCI","M","35d",296.714285714286
"64",239,"PAN","CCI","M","35d",276.652173913043
"65",240,"PAN","CCI","M","35d",278.090909090909
"66",241,"PAN","CCI","M","35d",287.157894736842
"67",242,"PAN","CCI","M","35d",242.769230769231
"68",243,"PAN","CCI","M","35d",266.75
"69",244,"PAN","CCI","F","35d",136.25
"70",245,"PAN","CCI","F","35d",195.428571428571
"71",246,"PAN","CCI","F","35d",167
"72",247,"PAN","CCI","F","35d",206.5
"73",248,"PAN","CCI","F","35d",261.153846153846
"74",249,"PAN","CCI","F","35d",241.142857142857
"75",250,"PAN","CCI","F","35d",234.8
"76",251,"PAN","CCI","F","35d",251.882352941176
"77",252,"PAN","CCI","F","35d",256
"78",253,"PAN","CCI","F","35d",282.909090909091
"79",254,"Vehicle","CCI","M","35d",248.333333333333
"80",255,"Vehicle","CCI","M","35d",224.5
"81",256,"Vehicle","CCI","M","35d",369.3
"82",257,"Vehicle","CCI","M","35d",305
"83",258,"Vehicle","CCI","M","35d",174.75
"84",259,"Vehicle","CCI","M","35d",182.5
"85",261,"Vehicle","CCI","M","35d",200.714285714286
"86",262,"Vehicle","CCI","M","35d",141.625
"87",263,"Vehicle","CCI","M","35d",235.4
"88",264,"Vehicle","CCI","F","35d",317.090909090909
"89",265,"Vehicle","CCI","F","35d",259
"90",266,"Vehicle","CCI","F","35d",245.4
"91",267,"Vehicle","CCI","F","35d",196
"92",268,"Vehicle","CCI","F","35d",145.153846153846
"93",269,"Vehicle","CCI","F","35d",149.111111111111
"94",270,"Vehicle","CCI","F","35d",229.666666666667
"95",271,"Vehicle","CCI","F","35d",219
"96",272,"Vehicle","CCI","F","35d",213.583333333333
"97",273,"Vehicle","CCI","F","35d",170.363636363636
"98",274,"PAN","Sham","M","35d",310.130434782609
"99",275,"PAN","Sham","M","35d",313.5
"100",276,"PAN","Sham","M","35d",320.8
"101",277,"PAN","Sham","M","35d",344.647058823529
"102",278,"PAN","Sham","M","35d",359.913043478261
"103",279,"PAN","Sham","F","35d",225.272727272727
"104",280,"PAN","Sham","F","35d",354
"105",281,"PAN","Sham","F","35d",322.6875
"106",282,"PAN","Sham","F","35d",261.352941176471
"107",283,"PAN","Sham","F","35d",167.5
"108",284,"Vehicle","Sham","M","35d",236.6875
"109",285,"Vehicle","Sham","M","35d",176.5
"110",286,"Vehicle","Sham","M","35d",252.571428571429
"111",287,"Vehicle","Sham","M","35d",264.866666666667
"112",288,"Vehicle","Sham","M","35d",343.3
"113",289,"Vehicle","Sham","F","35d",246.1
"114",290,"Vehicle","Sham","F","35d",177.928571428571
"115",291,"Vehicle","Sham","F","35d",200.5
"116",292,"Vehicle","Sham","F","35d",318.571428571429
"117",293,"Vehicle","Sham","F","35d",210.375
